City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,-11.01,65,100,2.57,US,1710699248
83,kodiak,57.79,-152.4072,-0.27,74,0,4.63,US,1710699518
84,togur,58.3631,82.8265,1.19,98,100,5.36,RU,1710699519
85,talnakh,69.4865,88.3972,-13.77,96,100,4.74,RU,1710699305
86,tazovsky,67.4667,78.7,-4.79,82,100,9.96,RU,1710699250
87,warrnambool,-38.3833,142.4833,17.08,71,0,3.36,AU,1710699521
88,puerto quijarro,-17.7833,-57.7667,40.8,25,29,3.51,BO,1710699522
89,longyearbyen,78.2186,15.6401,-22.09,64,20,2.06,SJ,1710699319
90,mili,6.0815,171.735,27.83,81,93,7.28,MH,1710699322
91,ladnun,27.65,74.3833,20.79,13,39,3.12,IN,1710699523
92,cidade velha,14.9167,-23.6167,26.26,57,20,11.83,CV,1710699524
93,egilsstadir,65.2653,-14.3948,0.95,100,100,2.06,IS,1710699525
94,ribeira brava,32.65,-17.0667,21.11,82,82,1.58,PT,1710699525
95,papatowai,-46.5619,169.4708,9.82,74,83,6.98,NZ,1710699292
96,mitu,1.1983,-70.1733,30.43,64,100,1.43,CO,1710699527
97,las veredas,23.1388,-109.7075,25.54,51,0,4.12,MX,1710699529
98,isafjordur,66.0755,-23.124,-3.98,80,100,12.86,IS,1710699529
99,badger,64.8,-147.5333,-11.05,68,100,2.57,US,1710699530
100,west island,-12.1568,96.8225,23.99,94,21,0.0,CC,1710699530
101,arraial do cabo,-22.9661,-42.0278,36.98,66,0,5.14,BR,1710699315
102,boende,-0.2167,20.8667,28.0,62,85,0.38,CD,1710699532
103,belle fourche,44.6714,-103.8522,5.83,38,83,6.3,US,1710699532
104,vadso,70.0744,29.7487,-4.91,74,40,10.29,NO,1710699235
105,arkhangel'sk,64.5401,40.5433,-5.94,67,40,1.0,RU,1710699533
106,valparaiso,-33.0393,-71.6273,30.63,52,0,6.17,CL,1710699438
107,vilyuysk,63.7553,121.6247,-24.44,99,57,1.79,RU,1710699249
108,fada,9.5667,8.3,32.02,14,17,2.45,NG,1710699535
109,las heras,-46.5419,-68.9359,14.59,29,37,3.13,AR,1710699536
110,mejit,10.2753,170.8646,26.64,77,100,7.12,MH,1710699538
111,albany,42.6001,-73.9662,9.3,62,59,3.13,US,1710699279
112,keflavik,64.0049,-22.5624,6.95,87,100,7.72,IS,1710699255
113,nchelenge,-9.3451,28.734,23.66,78,70,1.25,ZM,1710699539
114,stanley,54.868,-1.6985,11.82,84,40,4.12,GB,1710699541
115,hamilton,39.1834,-84.5333,11.25,37,0,7.2,US,1710699356
116,hilo,19.7297,-155.09,20.85,94,75,1.54,US,1710699253
117,castillos,-34.1667,-53.8333,23.35,51,0,4.18,UY,1710699543
118,la ronge,55.1001,-105.2842,-7.86,49,40,3.6,CA,1710699543
119,barguzin,53.6167,109.6167,-9.26,96,100,1.18,RU,1710699544
120,buncrana,55.1333,-7.45,10.87,89,93,2.47,IE,1710699545
121,acapulco de juarez,16.8634,-99.8901,25.9,78,40,6.17,MX,1710699348
122,mata-utu,-13.2816,-176.1745,28.63,76,100,2.72,WF,1710699546
123,kidal,18.4411,1.4078,30.24,8,0,6.98,ML,1710699236
124,itaituba,-4.2761,-55.9836,33.09,62,40,2.06,BR,1710699547
125,argo,37.6333,22.7333,12.66,77,98,1.05,GR,1710699548
126,khandyga,62.6667,135.6,-29.13,100,97,1.18,RU,1710699549
127,praia da vitoria,38.7333,-27.0667,18.14,68,40,8.31,PT,1710699549
128,codrington,-38.2667,141.9667,17.96,59,0,4.84,AU,1710699268
129,torghay,49.6339,63.4981,-7.92,86,32,3.89,KZ,1710699550
130,happy valley-goose bay,53.3168,-60.3315,2.17,69,75,2.57,CA,1710699551
131,ust-nera,64.5667,143.2,-20.53,99,86,1.41,RU,1710699282
132,porto novo,6.4965,2.6036,29.9,77,5,4.49,BJ,1710699532
133,kapuskasing,49.4169,-82.4331,1.05,75,100,5.14,CA,1710699553
134,geraldton,-28.7667,114.6,21.23,78,75,4.63,AU,1710699389
135,ad dabbah,18.05,30.95,37.01,13,99,5.87,SD,1710699554
136,agbabu,6.5886,4.8343,28.69,77,67,1.89,NG,1710699555
137,hasaki,35.7333,140.8333,12.38,51,100,10.57,JP,1710699246
138,remire-montjoly,4.9167,-52.2667,32.02,62,20,8.75,GF,1710699556
139,inongo,-1.95,18.2667,27.27,68,36,2.18,CD,1710699557
140,nar'yan-mar,67.6713,53.087,-8.27,92,83,4.47,RU,1710699557
141,sinabang,2.4803,96.3801,26.93,79,55,0.95,ID,1710699558
142,minas de marcona,-15.2119,-75.1103,24.22,63,84,5.17,PE,1710699559
143,jamestown,42.097,-79.2353,3.07,91,100,6.69,US,1710699303
144,lerwick,60.1545,-1.1494,7.0,95,100,12.92,GB,1710699560
145,qaqortoq,60.7167,-46.0333,-4.55,86,100,1.22,GL,1710699259
146,holualoa,19.6228,-155.9522,21.91,79,0,0.0,US,1710699336
147,laguna,38.421,-121.4238,20.01,64,0,0.45,US,1710699036
148,banamba,13.55,-7.45,36.67,6,0,2.22,ML,1710699437
149,carutapera,-1.195,-46.02,26.7,93,100,2.85,BR,1710699563
150,batu pahat,1.8548,102.9325,24.8,86,72,2.33,MY,1710699564
151,bathsheba,13.2167,-59.5167,30.34,66,20,9.77,BB,1710699564
152,princeville,45.7668,-61.2985,4.31,91,100,6.17,CA,1710699565
153,linxia chengguanzhen,35.6003,103.2064,0.94,52,98,1.17,CN,1710699565
154,morant bay,17.8815,-76.4093,30.79,70,14,6.15,JM,1710699566
155,udachny,66.4167,112.4,-14.75,91,100,3.5,RU,1710699298
156,takoradi,4.8845,-1.7554,29.18,77,20,3.69,GH,1710699341
157,port saint john's,-31.6229,29.5448,19.64,86,100,2.52,ZA,1710699568
158,antsiranana,-12.2787,49.2917,25.81,85,47,4.65,MG,1710699569
159,monrovia,6.3005,-10.7969,31.87,77,17,3.7,LR,1710699570
160,el granada,37.5027,-122.4694,19.15,74,20,3.6,US,1710699514
161,siwa oasis,29.2041,25.5195,18.85,30,0,3.94,EG,1710699571
162,nguigmi,14.2495,13.1092,29.36,15,17,5.69,NE,1710699438
163,sodankyla,67.4167,26.6,-9.33,88,29,3.84,FI,1710699572
164,tocopilla,-22.092,-70.1979,24.09,67,47,3.6,CL,1710699376
165,nola,40.922,14.5329,15.91,79,90,1.47,IT,1710699573
166,cuito,-12.3833,16.9333,17.58,88,79,0.77,AO,1710699574
167,thompson,55.7435,-97.8558,-14.91,51,20,4.12,CA,1710699384
168,punta arenas,-53.15,-70.9167,8.06,49,75,11.83,CL,1710699186
169,tampa,27.9475,-82.4584,29.65,71,75,2.06,US,1710699504
170,flying fish cove,-10.4217,105.6791,24.82,88,34,4.12,CX,1710699252
171,mar del plata,-38.0023,-57.5575,24.73,73,0,9.83,AR,1710698913
172,halifax,44.6453,-63.5724,4.08,92,99,2.68,CA,1710699037
173,colonia,50.9333,6.95,13.82,62,0,3.6,DE,1710699458
174,promissao,-21.5367,-49.8581,33.23,50,79,3.37,BR,1710699363
175,al khawr,25.7667,51.3167,23.11,56,98,4.48,QA,1710699579
176,cururupu,-1.8283,-44.8683,24.13,99,100,0.83,BR,1710699341
177,pelabuhanratu,-6.9875,106.5514,25.25,87,66,2.02,ID,1710699581
178,dwarka,22.2394,68.9678,24.9,61,2,5.78,IN,1710699582
179,mogadishu,2.0371,45.3438,27.74,75,45,8.55,SO,1710699329
180,hawaiian paradise park,19.5933,-154.9731,20.73,97,75,1.54,US,1710699583
181,saipan,15.1355,145.701,26.39,100,20,6.17,MP,1710699296
182,sola,-13.8833,167.55,27.17,82,96,5.8,VU,1710699378
183,kudymkar,59.0173,54.656,-2.76,92,30,3.47,RU,1710699585
184,connell,46.6635,-118.8611,14.26,56,6,1.06,US,1710699299
185,ribeira grande,38.5167,-28.7,17.65,77,20,9.26,PT,1710699341
186,puerto francisco de orellana,-0.4667,-76.9667,33.03,66,40,1.54,EC,1710699587
187,segezha,63.7415,34.3222,-8.73,87,80,2.07,RU,1710699588
188,kerikeri,-35.2268,173.9474,12.17,89,12,1.75,NZ,1710699588
189,kuching,1.55,110.3333,28.9,96,40,0.45,MY,1710699589
190,haiku-pauwela,20.9219,-156.3051,21.81,80,40,4.63,US,1710699360
191,new norfolk,-42.7826,147.0587,13.73,95,0,1.24,AU,1710699590
192,fortuna,40.5982,-124.1573,13.32,90,0,0.0,US,1710699349
193,nagtipunan,16.2167,121.6,21.28,98,84,0.56,PH,1710699591
194,lihue,21.9789,-159.3672,21.31,81,100,6.69,US,1710699408
195,shalqar,47.8333,59.6,1.5,73,100,5.85,KZ,1710699592
196,al jawf,29.5,38.75,23.52,24,78,5.0,SA,1710699593
197,la'ie,21.6477,-157.9253,23.98,68,81,4.47,US,1710699377
198,pamanukan,-6.2842,107.8106,25.07,85,9,3.14,ID,1710699594
199,chibougamau,49.9168,-74.3659,-0.21,59,100,4.12,CA,1710699595
200,east london,-33.0153,27.9116,17.52,94,100,2.06,ZA,1710699174
201,nhamunda,-2.1861,-56.7131,28.53,85,86,1.64,BR,1710699596
202,chonchi,-42.6128,-73.8092,13.56,63,93,1.45,CL,1710699264
203,fort bragg,35.139,-79.006,21.57,40,94,0.45,US,1710699597
204,avarua,-21.2078,-159.775,27.03,83,20,2.06,CK,1710699345
205,ixtapa,20.7,-105.2,25.57,65,20,2.57,MX,1710699351
206,dapa,9.7594,126.0531,24.99,77,24,2.53,PH,1710699600
207,xining,36.6167,101.7667,-1.13,63,100,4.29,CN,1710699600
208,murashi,59.3999,48.9615,-0.57,91,84,3.46,RU,1710699601
209,port macquarie,-31.4333,152.9167,18.83,94,67,1.47,AU,1710699602
210,greenville,35.6127,-77.3663,22.29,40,0,2.06,US,1710699435
211,at taj,24.2049,23.2857,17.94,29,0,5.8,LY,1710699604
212,san antonio de pale,-1.4014,5.6325,29.26,76,96,3.58,GQ,1710699604
213,keila,59.3036,24.4131,-1.88,80,100,8.75,EE,1710699605
214,nsawam,5.8089,-0.3503,30.03,61,48,3.47,GH,1710699606
215,quellon,-43.1167,-73.6167,13.24,71,95,2.36,CL,1710699606
216,kuala tungkal,-0.8167,103.4667,25.61,89,58,2.03,ID,1710699607
217,nemuro,43.3236,145.575,-0.16,97,100,6.27,JP,1710699607
218,zinjibar,13.1287,45.3807,26.01,78,1,4.8,YE,1710699608
219,port lincoln,-34.7333,135.8667,17.75,90,57,4.5,AU,1710699608
220,paramonga,-10.6667,-77.8333,25.38,73,61,4.43,PE,1710699609
221,georgetown,5.4112,100.3354,27.96,85,20,1.54,MY,1710699562
222,curitibanos,-27.2828,-50.5844,29.73,47,91,2.43,BR,1710699543
223,sitka,57.0531,-135.33,6.94,81,100,6.17,US,1710699235
224,bulayevo,54.9056,70.4439,-8.24,86,12,4.07,KZ,1710699612
225,birzebbuga,35.8258,14.5269,15.38,72,0,1.54,MT,1710699613
226,wichian buri,15.6578,101.106,30.16,44,18,3.54,TH,1710699614
227,hailey,43.5196,-114.3153,8.92,52,0,4.12,US,1710699615
228,zaozersk,69.4005,32.4476,-9.1,87,54,8.23,RU,1710699616
229,hermanus,-34.4187,19.2345,18.78,75,100,9.2,ZA,1710699616
230,el calafate,-50.3408,-72.2768,6.41,60,14,5.73,AR,1710699578
231,palamos,41.8484,3.1291,16.11,58,88,0.76,ES,1710699618
232,aasiaat,68.7098,-52.8699,-20.0,96,50,2.33,GL,1710699618
233,susuman,62.7833,148.1667,-21.12,100,91,1.34,RU,1710699256
234,khovd,48.0056,91.6419,-3.43,35,4,0.97,MN,1710699620
235,nogliki,51.8333,143.1667,-16.48,98,91,1.34,RU,1710699620
236,shihezi,44.3,86.0333,0.81,55,0,0.63,CN,1710699622
237,kursavka,44.4564,42.5093,7.69,76,98,2.5,RU,1710699622
238,carnarvon,-24.8667,113.6333,25.88,68,67,8.94,AU,1710699325
239,sao felix do xingu,-6.6447,-51.995,24.64,98,82,1.6,BR,1710699624
240,ahar,38.4774,47.0699,8.07,49,24,1.79,IR,1710699625
241,aktobe,50.2797,57.2072,-4.95,68,0,8.0,KZ,1710699626
242,st. john's,47.5649,-52.7093,3.21,75,75,4.12,CA,1710699445
243,lorengau,-2.0226,147.2712,26.74,86,100,5.8,PG,1710699627
244,manay,7.215,126.5397,23.99,83,68,4.21,PH,1710699628
245,kokopo,-4.352,152.2633,25.49,84,98,2.56,PG,1710699629
246,yuzhno-kurilsk,44.0306,145.8556,0.76,70,100,15.16,RU,1710699360
247,sovetskiy,61.3614,63.5842,-0.06,97,99,5.81,RU,1710699557
248,campbellton,48.0075,-66.6727,-0.75,98,100,5.93,CA,1710699540
249,namsos,64.4662,11.4957,3.03,51,0,5.66,NO,1710699633
250,ketchikan,55.3422,-131.6461,8.52,93,100,6.17,US,1710699634
251,ylitornio,66.3089,23.6773,-11.1,88,20,2.64,FI,1710699634
252,ringkobing,56.0901,8.244,3.9,66,100,7.39,DK,1710699635
253,glasgow,55.8652,-4.2576,11.79,85,100,2.06,GB,1710699425
254,basoko,1.2391,23.616,29.26,57,52,1.47,CD,1710699636
255,zuya,45.0531,34.3154,7.27,88,88,1.43,UA,1710699637
256,juan griego,11.0817,-63.9655,29.1,69,99,8.41,VE,1710699393
257,bamboo flat,11.7,92.7167,25.87,72,1,1.82,IN,1710699638
258,ongjin,37.9347,125.3619,2.38,43,81,2.52,KP,1710699639
259,salinas,36.6777,-121.6555,20.03,62,0,2.57,US,1710699640
260,kalmunai,7.4167,81.8167,25.16,76,4,1.33,LK,1710699642
261,mian channun,30.44,72.3543,19.79,24,58,3.34,PK,1710699642
262,kavaratti,10.5669,72.642,27.66,72,9,4.3,IN,1710699643
263,afaahiti,-17.75,-149.2833,28.93,78,46,1.69,PF,1710699643
264,severo-yeniseyskiy,60.3725,93.0408,-7.46,91,100,4.02,RU,1710699644
265,nishinoomote,30.7333,131.0,16.78,71,22,8.59,JP,1710699645
266,paita,-5.0892,-81.1144,26.33,66,90,5.24,PE,1710699645
267,ugoofaaru,5.6667,73.0,28.71,73,8,3.84,MV,1710699646
268,wanaraja,-7.1749,107.9808,23.3,93,67,1.31,ID,1710699646
269,macau,22.2006,113.5461,22.62,88,40,1.54,MO,1710699647
270,gassol,8.5333,10.4667,36.5,13,76,1.83,NG,1710699648
271,namibe,-15.1961,12.1522,24.97,74,28,6.56,AO,1710699648
272,constantia,44.1833,28.65,8.38,81,32,6.18,RO,1710699649
273,naha,26.2125,127.6811,19.38,79,75,8.23,JP,1710699650
274,dolores,-36.3132,-57.6792,23.75,46,2,5.63,AR,1710699651
275,taghazout,30.5426,-9.7112,33.43,27,73,4.05,MA,1710699651
276,sagaing,21.8787,95.9797,28.04,21,63,1.25,MM,1710699652
277,merizo village,13.2658,144.6691,25.32,87,48,7.03,GU,1710699653
278,rasht,37.2808,49.5832,10.66,85,30,0.64,IR,1710699653
279,east ballina,-28.8667,153.5833,20.44,86,60,2.96,AU,1710699375
280,mount pearl,47.5166,-52.7813,2.75,75,75,4.12,CA,1710699654
281,tchibanga,-2.85,11.0333,25.12,95,99,1.02,GA,1710699655
282,ar raqqah,35.95,39.0167,19.62,32,100,2.33,SY,1710699656
283,papao,-17.75,-149.55,29.82,76,28,1.46,PF,1710699252
284,callao,-12.0667,-77.15,24.16,73,0,4.12,PE,1710699375
285,brookings,44.3114,-96.7984,-3.79,58,75,10.8,US,1710699658
286,kudahuvadhoo,2.6708,72.8944,28.27,74,22,2.33,MV,1710699658
287,broken hill,-31.95,141.4333,21.08,69,32,4.02,AU,1710699487
288,rudnichnyy,59.617,52.4703,-2.53,94,34,3.81,RU,1710699659
289,luganville,-15.5333,167.1667,26.07,89,100,3.17,VU,1710699660
290,iquitos,-3.7481,-73.2472,31.02,79,40,3.09,PE,1710699661
291,hastings,50.8552,0.5729,11.78,88,95,6.0,GB,1710699661
292,nabire,-3.3667,135.4833,24.74,92,100,1.29,ID,1710699662
293,tughyl,47.7252,84.2063,-11.01,92,7,2.08,KZ,1710699662
294,as sulayyil,20.4607,45.5779,29.14,30,89,9.92,SA,1710699663
295,kill devil hills,36.0307,-75.676,20.01,49,0,3.09,US,1710699664
296,kailua-kona,19.6406,-155.9956,23.98,77,0,0.0,US,1710699664
297,kuqa,41.7278,82.9364,5.73,31,0,1.94,CN,1710699665
298,uturoa,-16.7333,-151.4333,28.12,74,52,3.75,PF,1710699666
299,pitimbu,-7.4706,-34.8086,31.33,72,93,4.78,BR,1710699667
300,angaur state,6.906,134.13,27.86,79,90,6.56,PW,1710699667
301,karratha,-20.7377,116.8463,29.26,71,95,5.35,AU,1710699668
302,pitkyaranta,61.5734,31.4792,-4.16,72,99,6.6,RU,1710699669
303,douglas,41.3,-96.167,2.7,47,75,11.32,US,1710699556
304,winston,28.0317,-82.0148,29.41,63,40,4.12,US,1710699529
305,sarupathar,26.1984,93.8094,21.64,30,47,0.93,IN,1710699671
306,ciudad cuauhtemoc,22.1833,-97.8333,30.06,66,75,4.07,MX,1710699672
307,joetsu,37.1483,138.2364,5.62,64,100,11.52,JP,1710699437
308,ocean city,39.2776,-74.5746,18.43,40,72,1.79,US,1710699417
309,zhanaozen,43.3,52.8,4.2,80,29,3.27,KZ,1710699674
310,isla vista,34.4133,-119.861,19.44,70,0,3.09,US,1710699674
311,uliastay,47.7417,96.8444,-18.75,93,28,3.07,MN,1710699676
312,celestun,20.8667,-90.4,30.6,58,0,3.77,MX,1710699677
313,theunissen,-28.411,26.7011,23.54,16,46,4.06,ZA,1710699678
314,bardstown,37.8092,-85.4669,13.69,40,0,6.69,US,1710699679
315,pahrump,36.2083,-115.9839,12.03,69,84,0.89,US,1710699527
316,cam ranh,11.9214,109.1591,24.98,88,20,2.06,VN,1710699680
317,port hedland,-20.3167,118.5667,26.03,94,75,4.12,AU,1710699682
318,melekeok village,7.4957,134.6367,25.31,94,75,2.06,PW,1710699682
319,naze,28.3667,129.4833,15.51,66,54,8.04,JP,1710699539
320,anadyr,64.75,177.4833,-23.72,84,0,2.0,RU,1710699684
321,tsiombe,-25.3,45.4833,26.24,87,75,4.05,MG,1710699684
322,north bend,43.4065,-124.2243,13.42,76,0,1.54,US,1710699413
323,ankazoabo,-22.2833,44.5167,24.76,73,19,3.11,MG,1710699686
324,kogalym,62.2654,74.4791,0.89,98,100,10.02,RU,1710699687
325,bayanaul,50.7889,75.6956,-6.47,85,8,2.2,KZ,1710699687
326,labrador city,52.9463,-66.9114,-1.05,59,75,3.09,CA,1710699611
327,maumere,-8.6199,122.2111,26.43,83,79,3.35,ID,1710699690
328,dunedin,-45.8742,170.5036,9.89,78,73,3.58,NZ,1710699691
329,vorgashor,67.5833,63.95,-13.55,90,100,8.25,RU,1710699385
330,kovdor,67.5662,30.4758,-9.65,92,31,4.13,RU,1710699693
331,prado,-17.3411,-39.2208,29.99,72,36,5.05,BR,1710699693
332,gbarnga,6.9956,-9.4722,31.64,57,77,1.51,LR,1710699694
333,margate,51.3813,1.3862,12.05,90,98,2.68,GB,1710699354
334,mahina,-17.5065,-149.489,29.87,66,20,3.09,PF,1710699696
335,dunay,42.8803,132.3375,-2.38,63,26,10.01,RU,1710699696
336,puerto deseado,-47.7503,-65.8938,13.81,27,33,8.61,AR,1710699697
337,vilhena,-12.7406,-60.1458,30.12,66,75,4.12,BR,1710699697
338,yaren,-0.5472,166.916,28.24,71,91,0.9,NR,1710699699
339,whitehorse,60.7161,-135.0538,4.34,69,40,1.79,CA,1710699313
340,antonio enes,-16.2325,39.9086,27.24,81,11,2.91,MZ,1710699700
341,ibipeba,-11.6408,-42.0111,34.35,28,83,3.02,BR,1710699700
342,wainwright,52.839,-110.8572,2.11,64,80,6.57,CA,1710699701
343,okahandja,-21.9833,16.9167,28.74,27,75,0.76,NA,1710699703
344,qarah bagh,34.9402,61.7759,13.09,65,65,1.89,AF,1710699704
345,lompoc,34.6391,-120.4579,19.27,65,0,0.89,US,1710699704
346,isangel,-19.55,169.2667,25.72,83,99,3.08,VU,1710699705
347,port douglas,-16.4833,145.4667,26.26,92,100,4.55,AU,1710699707
348,whistler,50.1164,-122.9695,11.42,57,0,1.03,CA,1710699494
349,mazara del vallo,37.6641,12.588,15.97,83,42,5.16,IT,1710699709
350,sao tome,0.3365,6.7273,29.48,77,100,3.74,ST,1710699709
351,conde,-7.2597,-34.9075,30.7,74,40,5.66,BR,1710699710
352,waddan,29.1614,16.139,18.58,40,5,3.9,LY,1710699712
353,nyurba,63.2842,118.3319,-12.88,94,100,2.64,RU,1710699712
354,cabedelo,-6.9811,-34.8339,31.37,71,99,4.67,BR,1710699713
355,quimili,-27.6333,-62.4167,27.02,78,99,2.34,AR,1710699714
356,xilin hot,43.9667,116.0333,-6.08,94,52,1.66,CN,1710699715
357,sebastopol,44.6,33.5333,9.44,56,33,0.45,UA,1710699454
358,antofagasta,-23.65,-70.4,22.95,67,34,4.19,CL,1710699176
359,kishtwar,33.3167,75.7667,9.75,53,100,2.22,IN,1710699716
360,letterkenny,54.95,-7.7333,10.94,85,80,2.45,IE,1710699717
361,al majaridah,19.1236,41.9111,31.37,39,65,1.2,SA,1710699718
362,gemena,3.25,19.7667,24.69,81,73,0.32,CD,1710699718
363,pacific grove,36.6177,-121.9166,19.8,71,0,3.58,US,1710699712
364,lazaro cardenas,17.9583,-102.2,27.86,54,100,3.34,MX,1710699482
365,berezovyy,51.6667,135.7,-16.42,97,84,1.7,RU,1710699721
